bM,l_BobCharlie,bH,b_prime_H,total,eps_for,eps_rep
80,210,43,42,9.367795428261161e-11,1.8189894035458565e-11,7.548806024715304e-11
160,215,43,43,9.231371222995222e-11,3.637978807091713e-11,5.5933924159035087e-11
240,215,45,43,8.86757334228605e-11,1.3642420526593924e-11,7.503331289626658e-11
320,215,47,43,9.868017514236271e-11,4.547473508864641e-12,9.413270163349807e-11
400,220,45,44,7.844391802791506e-11,2.2737367544323206e-11,5.5706550483591855e-11
480,220,45,44,9.208633855450898e-11,2.7284841053187847e-11,6.480149750132114e-11
560,220,46,44,9.00399754755199e-11,1.5916157281026244e-11,7.412381819449365e-11
640,220,47,44,9.254108590539545e-11,9.094947017729282e-12,8.344613888766617e-11
720,220,48,44,9.78843672783114e-11,5.115907697472721e-12,9.276845958083868e-11
800,225,45,45,9.606537787476555e-11,4.547473508864641e-11,5.0590642786119133e-11
1600,225,50,45,9.947598300641403e-11,2.8421709430404007e-12,9.663381206337363e-11
2400,230,48,46,8.799361239653081e-11,1.7053025658242404e-11,7.09405867382884e-11
3200,230,50,46,9.947598300641403e-11,5.6843418860808015e-12,9.379164112033322e-11
4000,235,48,47,8.662937034387141e-11,2.8421709430404007e-11,5.820766091346741e-11
4800,235,49,47,8.665779205330182e-11,1.7053025658242404e-11,6.960476639505941e-11
5600,235,50,47,9.094947017729282e-11,9.947598300641403e-12,8.100187187665142e-11
6400,235,51,47,9.808331924432423e-11,5.6843418860808015e-12,9.239897735824343e-11
7200,240,49,48,7.743494734313572e-11,2.5579538487363607e-11,5.185540885577211e-11
8000,240,49,48,8.596146017225692e-11,2.8421709430404007e-11,5.753975074185291e-11
16000,245,50,49,8.562039965909207e-11,2.8421709430404007e-11,5.7198690228688065e-11
24000,245,52,49,9.629275155020878e-11,1.0658141036401503e-11,8.563461051380727e-11
32000,250,51,50,8.544631668883085e-11,2.8421709430404007e-11,5.702460725842684e-11
40000,250,52,50,8.900258308131015e-11,1.7763568394002505e-11,7.123901468730764e-11
48000,250,53,50,9.611156315258995e-11,1.0658141036401503e-11,8.545342211618845e-11
56000,250,59,50,9.987988214277266e-11,1.942890293094024e-13,9.968559311346326e-11
64000,255,52,51,8.535749884686084e-11,2.8421709430404007e-11,5.693578941645683e-11
72000,255,52,51,9.601563988326234e-11,3.197442310920451e-11,6.404121677405783e-11
800000,270,57,54,9.993272875874482e-11,1.1102230246251565e-11,8.883049851249325e-11
1600000,275,58,55,9.992651150980691e-11,1.1102230246251565e-11,8.882428126355535e-11
2400000,280,57,56,9.992323635188427e-11,3.3306690738754696e-11,6.661654561312957e-11
3200000,280,59,56,9.992334737418673e-11,1.1102230246251565e-11,8.882111712793517e-11
4000000,285,58,57,8.326833667027245e-11,2.7755575615628914e-11,5.5512761054643533e-11
4800000,285,58,57,9.99216820396498e-11,3.3306690738754696e-11,6.66149913008951e-11
5600000,285,59,57,9.714615223366252e-11,1.942890293094024e-11,7.771724930272228e-11
6400000,285,60,57,9.992173755080103e-11,1.1102230246251565e-11,8.881950730454946e-11
7200000,285,68,57,9.99707486931678e-11,4.87890977618477e-14,9.992195959540595e-11
8000000,290,59,58,8.32675456363674e-11,2.7755575615628914e-11,5.551197002073849e-11
16000000,295,60,59,8.326714318052097e-11,2.7755575615628914e-11,5.551156756489206e-11
24000000,295,62,59,9.367549791416963e-11,1.0408340855860843e-11,8.326715705830878e-11
32000000,300,61,60,8.326693848315081e-11,2.7755575615628914e-11,5.5511362867521896e-11
40000000,300,62,60,8.673638890455138e-11,1.734723475976807e-11,6.93891541447833e-11
48000000,300,63,60,9.367528627790556e-11,1.0408340855860843e-11,8.326694542204471e-11
56000000,300,66,60,9.866262667967973e-11,1.5178830414797062e-12,9.714474363820003e-11
64000000,305,62,61,8.326683439974225e-11,2.7755575615628914e-11,5.551125878411334e-11
72000000,305,62,61,9.36751752556031e-11,3.122502256758253e-11,6.245015268802057e-11
80000000,305,63,61,8.673628308641934e-11,1.734723475976807e-11,6.938904832665127e-11
160000000,310,64,62,8.673622930999159e-11,1.734723475976807e-11,6.938899455022352e-11
240000000,315,64,63,7.806258417453193e-11,2.6020852139652106e-11,5.204173203487983e-11
320000000,315,65,63,8.673620198809684e-11,1.734723475976807e-11,6.938896722832877e-11
400000000,315,66,63,9.757822414663275e-11,1.0842021724855044e-11,8.673620242177771e-11
480000000,320,65,64,7.806257051358456e-11,2.6020852139652106e-11,5.2041718373932455e-11
560000000,320,65,64,9.107299658341061e-11,3.0357660829594124e-11,6.071533575381649e-11
640000000,320,66,64,8.673618811030903e-11,1.734723475976807e-11,6.938895335054096e-11
720000000,320,66,64,9.757820983516408e-11,1.951563910473908e-11,7.8062570730425e-11
800000000,320,67,64,9.757821005200451e-11,1.0842021724855044e-11,8.673618832714947e-11
1600000000,325,68,65,9.757820289627017e-11,1.0842021724855044e-11,8.673618117141513e-11
2400000000,330,67,66,9.757819915577268e-11,3.252606517456513e-11,6.505213398120754e-11
3200000000,330,69,66,9.75781992641929e-11,1.0842021724855044e-11,8.673617753933785e-11
4000000000,335,68,67,8.131516477955653e-11,2.710505431213761e-11,5.4210110467418915e-11
4800000000,335,68,67,9.757819736683909e-11,3.252606517456513e-11,6.505213219227396e-11
