bM,l_AliceBob,n,bH,emax,b_prime_H,total_error
80,2772,66,14,24,47,8.69743077690184e-11
160,2970,66,15,24,47,8.69743077690184e-11
240,3132,58,18,23,47,8.002289452007302e-11
320,3168,66,16,24,47,8.978567377059798e-11
400,3240,60,18,23,47,9.177399731420834e-11
480,3306,58,19,23,47,8.673041794564837e-11
560,3306,58,19,23,48,9.72657079475758e-11
640,3366,66,17,24,47,9.808481292427595e-11
720,3420,60,19,23,47,8.932578528756127e-11
800,3420,60,19,23,47,9.177399731420834e-11
1600,3600,60,20,23,47,9.566889998048759e-11
2400,3762,66,19,24,48,7.605511891480097e-11
3200,3780,60,21,23,48,9.177399731420834e-11
4000,3828,58,22,23,48,8.67147841699681e-11
4800,3960,60,22,23,48,8.769429750666545e-11
5600,3960,60,22,23,48,8.892217424935382e-11
6400,3960,60,22,23,48,9.177399731420834e-11
7200,3960,60,22,23,48,9.935685694500671e-11
8000,4002,58,23,23,49,7.601126236830343e-11
16000,4176,58,24,23,49,9.865190213073779e-11
24000,4320,60,24,23,50,9.007006048391912e-11
32000,4350,58,25,23,50,8.917326203569805e-11
40000,4500,60,25,23,50,8.790426326550054e-11
48000,4500,60,25,23,50,9.893876230051906e-11
56000,4500,60,25,23,51,9.584096552991589e-11
64000,4524,58,26,23,51,8.422788459480775e-11
72000,4524,58,26,23,52,9.842968258989513e-11
80000,4680,52,30,22,51,8.394812017681128e-11
160000,4836,52,31,22,52,8.12693740629957e-11
240000,4836,52,31,22,53,9.242986243181715e-11
320000,4992,52,32,22,53,7.988381572826351e-11
400000,4992,52,32,22,54,7.319760307770457e-11
480000,4992,52,32,22,54,9.242986243181715e-11
560000,5046,58,29,23,55,9.156204484276177e-11
640000,5148,52,33,22,54,7.916794392198521e-11
720000,5148,52,33,22,54,9.24701179424077e-11
800000,5148,52,33,22,55,7.319760307770457e-11
1600000,5304,52,34,22,56,7.319760307770457e-11
2400000,5460,52,35,22,56,7.249531925862826e-11
3200000,5460,52,35,22,57,7.319760307770457e-11
4000000,5460,52,35,22,57,9.936661516878815e-11
4800000,5616,52,36,22,57,7.239717554325139e-11
5600000,5616,52,36,22,57,8.833789113071393e-11
6400000,5616,52,36,22,58,7.319760307770457e-11
7200000,5616,52,36,22,58,8.398014296649013e-11
8000000,5616,52,36,22,58,9.931754331109972e-11
16000000,5772,52,37,22,59,9.92922857372895e-11
24000000,5928,52,38,22,59,9.715251591367427e-11
32000000,5928,52,38,22,60,9.927929612790138e-11
40000000,6084,52,39,22,60,7.608967543160095e-11
48000000,6084,52,39,22,60,9.713916548180315e-11
56000000,6084,52,39,22,61,8.092227963790845e-11
64000000,6084,52,39,22,61,9.927262091196582e-11
72000000,6192,48,43,21,61,9.958244326749968e-11
80000000,6240,52,40,22,61,7.60828198044239e-11
160000000,6396,52,41,22,62,7.607930178521461e-11
240000000,6396,52,41,22,63,8.906900888498842e-11
320000000,6552,52,42,22,63,7.60774976727996e-11
400000000,6552,52,42,22,64,7.157550733139836e-11
480000000,6552,52,42,22,64,8.906900888498842e-11
560000000,6624,48,46,21,64,9.886302664826699e-11
640000000,6708,52,43,22,64,7.60765730651869e-11
720000000,6708,52,43,22,64,8.877084096965814e-11
800000000,6708,52,43,22,65,7.157550733139836e-11
1600000000,6864,52,44,22,66,7.157550733139836e-11
2400000000,7020,52,45,22,66,7.021849996001144e-11
3200000000,7020,52,45,22,67,7.157550733139836e-11
4000000000,7020,52,45,22,67,9.505934046735745e-11
4800000000,7176,52,46,22,67,7.021837592728291e-11
5600000000,7176,52,46,22,67,8.546131991783498e-11
6400000000,7176,52,46,22,68,7.157550733139836e-11
7200000000,7176,52,46,22,68,8.138317465282277e-11
8000000000,7176,52,46,22,68,9.505934046735745e-11
16000000000,7332,52,47,22,69,9.505934046735745e-11
24000000000,7488,48,52,21,69,9.315450390692769e-11
32000000000,7488,48,52,21,70,9.651170935011134e-11
40000000000,7632,48,53,21,70,9.212232983838641e-11
48000000000,7632,48,53,21,70,9.315450390692769e-11
56000000000,7632,48,53,21,70,9.875825026287826e-11
64000000000,7632,48,53,21,71,9.651170935011134e-11
72000000000,7632,48,53,21,71,9.897277305232275e-11
80000000000,7776,48,54,21,71,9.212232983838641e-11
