bM,l_BobCharlie,n,bH,emax,b_prime_H,total_error
80,3405.9300118776578,66,14,24,47,8.69743077690184e-11
160,3603.9300118776578,66,15,24,47,8.69743077690184e-11
240,3706.762897717399,58,18,23,47,8.002289452007302e-11
320,3801.9300118776578,66,16,24,47,8.978567377059798e-11
400,3829.413435736511,60,18,23,47,9.177399731420834e-11
480,3880.762897717399,58,19,23,47,8.673041794564837e-11
560,3885.762897717399,58,19,23,48,9.72657079475758e-11
640,3999.9300118776578,66,17,24,47,9.808481292427595e-11
720,4009.413435736511,60,19,23,47,8.932578528756127e-11
800,4009.413435736511,60,19,23,47,9.177399731420834e-11
1600,4189.413435736511,60,20,23,47,9.566889998048759e-11
2400,4374.413435736511,60,21,23,48,8.769429750666545e-11
3200,4374.413435736511,60,21,23,48,9.177399731420834e-11
4000,4407.762897717399,58,22,23,48,8.67147841699681e-11
4800,4554.413435736511,60,22,23,48,8.769429750666545e-11
5600,4554.413435736511,60,22,23,48,8.892217424935382e-11
6400,4554.413435736511,60,22,23,48,9.177399731420834e-11
7200,4554.413435736511,60,22,23,48,9.935685694500671e-11
8000,4586.762897717399,58,23,23,49,7.601126236830343e-11
16000,4760.762897717399,58,24,23,49,9.865190213073779e-11
24000,4914.4228653433365,52,28,22,50,7.04974039275134e-11
32000,4939.762897717399,58,25,23,50,8.917326203569805e-11
40000,5070.4228653433365,52,29,22,50,8.912087129314481e-11
48000,5075.4228653433365,52,29,22,51,7.04974039275134e-11
56000,5075.4228653433365,52,29,22,51,8.347343817967518e-11
64000,5118.762897717399,58,26,23,51,8.422788459480775e-11
72000,5123.762897717399,58,26,23,52,9.842968258989513e-11
80000,5231.4228653433365,52,30,22,51,8.394812017681128e-11
160000,5392.4228653433365,52,31,22,52,8.12693740629957e-11
240000,5397.4228653433365,52,31,22,53,9.242986243181715e-11
320000,5553.4228653433365,52,32,22,53,7.988381572826351e-11
400000,5558.4228653433365,52,32,22,54,7.319760307770457e-11
480000,5558.4228653433365,52,32,22,54,9.242986243181715e-11
560000,5660.762897717399,58,29,23,55,9.156204484276177e-11
640000,5714.4228653433365,52,33,22,54,7.916794392198521e-11
720000,5714.4228653433365,52,33,22,54,9.24701179424077e-11
800000,5719.4228653433365,52,33,22,55,7.319760307770457e-11
1600000,5880.4228653433365,52,34,22,56,7.319760307770457e-11
2400000,6036.4228653433365,52,35,22,56,7.249531925862826e-11
3200000,6041.4228653433365,52,35,22,57,7.319760307770457e-11
4000000,6041.4228653433365,52,35,22,57,9.936661516878815e-11
4800000,6197.4228653433365,52,36,22,57,7.239717554325139e-11
5600000,6197.4228653433365,52,36,22,57,8.833789113071393e-11
6400000,6202.4228653433365,52,36,22,58,7.319760307770457e-11
7200000,6202.4228653433365,52,36,22,58,8.398014296649013e-11
8000000,6202.4228653433365,52,36,22,58,9.931754331109972e-11
16000000,6363.4228653433365,52,37,22,59,9.92922857372895e-11
24000000,6519.4228653433365,52,38,22,59,9.715251591367427e-11
32000000,6524.4228653433365,52,38,22,60,9.927929612790138e-11
40000000,6680.4228653433365,52,39,22,60,7.608967543160095e-11
48000000,6680.4228653433365,52,39,22,60,9.713916548180315e-11
56000000,6685.4228653433365,52,39,22,61,8.092227963790845e-11
64000000,6685.4228653433365,52,39,22,61,9.927262091196582e-11
72000000,6765.078200034615,48,43,21,61,9.958244326749968e-11
80000000,6841.4228653433365,52,40,22,61,7.60828198044239e-11
160000000,7002.4228653433365,52,41,22,62,7.607930178521461e-11
240000000,7007.4228653433365,52,41,22,63,8.906900888498842e-11
320000000,7163.4228653433365,52,42,22,63,7.60774976727996e-11
400000000,7168.4228653433365,52,42,22,64,7.157550733139836e-11
480000000,7168.4228653433365,52,42,22,64,8.906900888498842e-11
560000000,7212.078200034615,48,46,21,64,9.886302664826699e-11
640000000,7324.4228653433365,52,43,22,64,7.60765730651869e-11
720000000,7324.4228653433365,52,43,22,64,8.877084096965814e-11
800000000,7329.4228653433365,52,43,22,65,7.157550733139836e-11
1600000000,7490.4228653433365,52,44,22,66,7.157550733139836e-11
2400000000,7646.4228653433365,52,45,22,66,7.021849996001144e-11
3200000000,7651.4228653433365,52,45,22,67,7.157550733139836e-11
4000000000,7651.4228653433365,52,45,22,67,9.505934046735745e-11
4800000000,7803.078200034615,48,50,21,67,9.195890222461769e-11
5600000000,7803.078200034615,48,50,21,67,9.2696450160297e-11
6400000000,7803.078200034615,48,50,21,67,9.367788239672633e-11
7200000000,7808.078200034615,48,50,21,68,9.49380271081713e-11
8000000000,7808.078200034615,48,50,21,68,9.651170935011134e-11
16000000000,7957.078200034615,48,51,21,69,9.651170935011134e-11
24000000000,8101.078200034615,48,52,21,69,9.315450390692769e-11
32000000000,8106.078200034615,48,52,21,70,9.651170935011134e-11
40000000000,8250.078200034615,48,53,21,70,9.212232983838641e-11
48000000000,8250.078200034615,48,53,21,70,9.315450390692769e-11
56000000000,8250.078200034615,48,53,21,70,9.875825026287826e-11
64000000000,8255.078200034615,48,53,21,71,9.651170935011134e-11
72000000000,8255.078200034615,48,53,21,71,9.897277305232275e-11
80000000000,8399.078200034615,48,54,21,71,9.212232983838641e-11
