bM,l_AliceBob,bH,b_prime_H,total,eps_for,eps_rep
80,123,41,44,9.117684385273606e-11,7.275957614183426e-11,1.8417267710901797e-11
160,126,42,45,8.662937034387141e-11,7.275957614183426e-11,1.3869794202037156e-11
240,129,43,44,9.163159120362252e-11,5.4569682106375694e-11,3.7061909097246826e-11
320,129,43,45,9.583800419932231e-11,7.275957614183426e-11,2.3078428057488054e-11
400,129,43,47,9.7855945568881e-11,9.094947017729282e-11,6.906475391588174e-12
480,132,44,45,8.685674401931465e-11,5.4569682106375694e-11,3.228706191293895e-11
560,132,44,46,8.208189683500677e-11,6.366462912410498e-11,1.8417267710901797e-11
640,132,44,46,9.345058060716838e-11,7.275957614183426e-11,2.0691004465334117e-11
720,132,44,47,9.333689376944676e-11,8.185452315956354e-11,1.1482370609883219e-11
800,132,44,48,9.725908967084251e-11,9.094947017729282e-11,6.30961949354969e-12
1600,135,45,49,9.695355629446567e-11,9.094947017729282e-11,6.0040861171728466e-12
2400,138,46,48,8.591882760811131e-11,6.821210263296962e-11,1.7706724975141697e-11
3200,138,46,50,9.679723689259845e-11,9.094947017729282e-11,5.8477667153056245e-12
4000,141,47,48,8.593303846282652e-11,5.6843418860808015e-11,2.90896196020185e-11
4800,141,47,49,8.559908337701927e-11,6.821210263296962e-11,1.738698074404965e-11
5600,141,47,49,9.980993809222127e-11,7.958078640513122e-11,2.0229151687090052e-11
6400,141,47,51,9.671730083482544e-11,9.094947017729282e-11,5.767830657532613e-12
7200,144,48,49,7.707967597525567e-11,5.1159076974727213e-11,2.5920599000528455e-11
8000,144,48,49,8.560618880437687e-11,5.6843418860808015e-11,2.8762769943568856e-11
16000,147,49,50,8.543921126147325e-11,5.6843418860808015e-11,2.8595792400665232e-11
24000,147,49,52,9.596679007017883e-11,8.526512829121202e-11,1.0701661778966809e-11
32000,150,50,51,8.535394613318203e-11,5.6843418860808015e-11,2.851052727237402e-11
40000,150,50,52,8.886225089099753e-11,7.105427357601002e-11,1.780797731498751e-11
48000,150,50,53,9.594547378810603e-11,8.526512829121202e-11,1.0680345496894006e-11
56000,150,50,58,9.986525495442322e-11,9.947598300641403e-11,3.892719480091955e-13
64000,153,51,52,8.531042539061673e-11,5.6843418860808015e-11,2.8467006529808714e-11
72000,153,51,52,9.596856642701823e-11,6.394884621840902e-11,3.2019720208609215e-11
800000,162,54,57,9.992157101734733e-11,8.881784197001252e-11,1.110372904733481e-11
1600000,165,55,58,9.992083549459352e-11,8.881784197001252e-11,1.1102993524580995e-11
2400000,168,56,57,9.992162652849856e-11,6.661338147750939e-11,3.330824505098917e-11
3200000,168,56,59,9.992046079432271e-11,8.881784197001252e-11,1.1102618824310184e-11
4000000,171,57,58,8.326751788079179e-11,5.551115123125783e-11,2.775636664953396e-11
4800000,171,57,58,9.992086325016913e-11,6.661338147750939e-11,3.330748177265974e-11
5600000,171,57,59,9.714491017165372e-11,7.771561172376096e-11,1.9429298447892762e-11
6400000,171,57,60,9.992026997474035e-11,8.881784197001252e-11,1.1102428004727827e-11
7200000,171,57,68,9.996886208651998e-11,9.992007221626409e-11,4.8789870255895595e-14
8000000,174,58,59,8.326712930273317e-11,5.551115123125783e-11,2.775597807147534e-11
16000000,177,59,60,8.32669315442569e-11,5.551115123125783e-11,2.775578031299908e-11
24000000,177,59,62,9.367511887709012e-11,8.326672684688674e-11,1.0408392030203384e-11
32000000,180,60,61,8.32668309302953e-11,5.551115123125783e-11,2.7755679699037472e-11
