bM,l_total,bH,b_prime_H,total,eps_for,eps_rep
80,466,41,44,9.117684385273606e-11,7.275957614183426e-11,1.8417267710901797e-11
160,473,43,43,9.231371222995222e-11,3.637978807091713e-11,5.5933924159035087e-11
240,478,43,44,9.163159120362252e-11,5.4569682106375694e-11,3.7061909097246826e-11
320,483,43,45,9.583800419932231e-11,7.275957614183426e-11,2.3078428057488054e-11
400,489,44,45,7.321432349272072e-11,4.547473508864641e-11,2.773958840407431e-11
480,489,44,45,8.685674401931465e-11,5.4569682106375694e-11,3.228706191293895e-11
560,494,44,46,8.208189683500677e-11,6.366462912410498e-11,1.8417267710901797e-11
640,494,44,46,9.345058060716838e-11,7.275957614183426e-11,2.0691004465334117e-11
720,495,45,45,8.697043085703626e-11,4.092726157978177e-11,4.604316927725449e-11
800,495,45,45,9.606537787476555e-11,4.547473508864641e-11,5.0590642786119133e-11
1600,506,46,46,9.356426744488999e-11,4.547473508864641e-11,4.808953235624358e-11
2400,516,46,48,8.591882760811131e-11,6.821210263296962e-11,1.7706724975141697e-11
3200,517,47,47,9.228529052052181e-11,4.547473508864641e-11,4.68105554318754e-11
4000,522,47,48,8.593303846282652e-11,5.6843418860808015e-11,2.90896196020185e-11
4800,527,47,49,8.559908337701927e-11,6.821210263296962e-11,1.738698074404965e-11
5600,527,47,49,9.980993809222127e-11,7.958078640513122e-11,2.0229151687090052e-11
6400,528,48,48,9.163159120362252e-11,4.547473508864641e-11,4.615685611497611e-11
7200,533,48,49,7.707967597525567e-11,5.1159076974727213e-11,2.5920599000528455e-11
8000,533,48,49,8.560618880437687e-11,5.6843418860808015e-11,2.8762769943568856e-11
16000,544,49,50,8.543921126147325e-11,5.6843418860808015e-11,2.8595792400665232e-11
24000,550,50,50,8.544276397515205e-11,4.263256414560601e-11,4.2810199829546036e-11
32000,555,50,51,8.535394613318203e-11,5.6843418860808015e-11,2.851052727237402e-11
40000,560,50,52,8.886225089099753e-11,7.105427357601002e-11,1.780797731498751e-11
48000,561,51,51,8.535572249002144e-11,4.263256414560601e-11,4.2723158344415424e-11
56000,561,51,51,9.956657720522344e-11,4.973799150320701e-11,4.9828585702016426e-11
64000,566,51,52,8.531042539061673e-11,5.6843418860808015e-11,2.8467006529808714e-11
72000,566,51,52,9.596856642701823e-11,6.394884621840902e-11,3.2019720208609215e-11
800000,605,55,55,8.882394819664796e-11,4.440892098500626e-11,4.44150272116417e-11
1600000,616,56,56,8.882095059448147e-11,4.440892098500626e-11,4.441202960947521e-11
2400000,621,56,57,9.992162652849856e-11,6.661338147750939e-11,3.330824505098917e-11
3200000,627,57,57,8.881942403782261e-11,4.440892098500626e-11,4.441050305281635e-11
4000000,632,57,58,8.326751788079179e-11,5.551115123125783e-11,2.775636664953396e-11
4800000,632,57,58,9.992086325016913e-11,6.661338147750939e-11,3.330748177265974e-11
5600000,637,57,59,9.714491017165372e-11,7.771561172376096e-11,1.9429298447892762e-11
6400000,638,58,58,8.881864688170538e-11,4.440892098500626e-11,4.4409725896699115e-11
7200000,638,58,58,9.992087712795694e-11,4.9960036108132044e-11,4.99608410198249e-11
8000000,643,58,59,8.326712930273317e-11,5.551115123125783e-11,2.775597807147534e-11
16000000,654,59,60,8.32669315442569e-11,5.551115123125783e-11,2.775578031299908e-11
24000000,660,60,60,8.326693501370386e-11,4.163336342344337e-11,4.163357159026049e-11
32000000,665,60,61,8.32668309302953e-11,5.551115123125783e-11,2.7755679699037472e-11
40000000,670,60,62,8.673622584054463e-11,6.938893903907228e-11,1.734728680147235e-11
48000000,671,61,61,8.326683266501878e-11,4.163336342344337e-11,4.1633469241575405e-11
56000000,671,61,61,9.714462047283323e-11,4.85722573273506e-11,4.857236314548263e-11
64000000,676,61,62,8.326677975595276e-11,5.551115123125783e-11,2.775562852469493e-11
72000000,676,61,62,9.36751206118136e-11,6.245004513516506e-11,3.1225075476648545e-11
80000000,681,61,63,8.673620025337336e-11,6.938893903907228e-11,1.734726121430108e-11
160000000,692,62,64,8.67361872429473e-11,6.938893903907228e-11,1.734724820387501e-11
240000000,698,63,64,7.806257007990369e-11,5.204170427930421e-11,2.602086580059948e-11
320000000,703,63,65,8.673618062931404e-11,6.938893903907228e-11,1.7347241590241758e-11
400000000,704,64,64,8.673618767662816e-11,4.336808689942018e-11,4.3368100777207985e-11
480000000,709,64,65,7.806256335785022e-11,5.204170427930421e-11,2.602085907854601e-11
560000000,709,64,65,9.107298942767628e-11,6.071532165918825e-11,3.035766776848803e-11
640000000,714,64,66,8.673617726828731e-11,6.938893903907228e-11,1.7347238229215023e-11
720000000,714,64,66,9.757819899314235e-11,7.806255641895632e-11,1.9515642574186032e-11
800000000,715,65,65,8.673618084615448e-11,4.336808689942018e-11,4.33680939467343e-11
1600000000,726,66,66,8.673617737670752e-11,4.336808689942018e-11,4.3368090477287347e-11
2400000000,731,66,67,9.757819731262898e-11,6.505213034913027e-11,3.252606696349872e-11
3200000000,737,67,67,8.6736175614879e-11,4.336808689942018e-11,4.3368088715458816e-11
4000000000,742,67,68,8.131516384443215e-11,5.421010862427522e-11,2.710505522015693e-11
4800000000,742,67,68,9.757819643171472e-11,6.505213034913027e-11,3.252606608258445e-11
5600000000,747,67,69,9.48676905464913e-11,7.589415207398531e-11,1.8973538472505987e-11
6400000000,748,68,68,8.67361747204122e-11,4.336808689942018e-11,4.3368087820992024e-11
7200000000,748,68,68,9.757819644526725e-11,4.87890977618477e-11,4.8789098683419546e-11
8000000000,753,68,69,8.131516339719876e-11,5.421010862427522e-11,2.7105054772923534e-11
16000000000,764,69,70,8.131516317019393e-11,5.421010862427522e-11,2.7105054545918704e-11
24000000000,770,70,70,8.131516317358206e-11,4.0657581468206416e-11,4.065758170537564e-11
32000000000,775,70,71,8.131516305499745e-11,5.421010862427522e-11,2.7105054430722223e-11
40000000000,780,70,72,8.470329478472234e-11,6.776263578034403e-11,1.6940659004378313e-11
48000000000,781,71,71,8.131516305669151e-11,4.0657581468206416e-11,4.0657581588485095e-11
56000000000,781,71,71,9.486769021276032e-11,4.743384504624082e-11,4.74338451665195e-11
64000000000,786,71,72,8.131516299655217e-11,5.421010862427522e-11,2.710505437227695e-11
72000000000,786,71,72,9.147955836360378e-11,6.098637220230962e-11,3.049318616129415e-11
80000000000,791,71,73,8.47032947554997e-11,6.776263578034403e-11,1.6940658975155676e-11
