timestamp,id,bM,bH,b_prime_H,forg_prob,rep_prob,t_total,t_QKD_Bob,t_QKD_Charlie,t_signatures_total,t_single_signature,mode
2026-08-26_16-15-44,251106878,80,41,44,7.275957614183426e-11,1.8417267710901797e-11,4.310779958963394,1.9161717500537634,1.900746374973096,0.488117958069779,0.4457182090263814,hwsim
2026-08-26_16-15-59,9466157,80,41,44,7.275957614183426e-11,1.8417267710901797e-11,4.25662216602359,1.8886352089466527,2.0341725409962237,0.3286239169538021,0.32848137500695884,hwsim
2026-08-26_16-16-11,104227277,80,41,44,7.275957614183426e-11,1.8417267710901797e-11,4.219200166990049,1.8731498750858009,2.022539958008565,0.31331358291208744,0.313179292017594,hwsim
2026-08-26_16-16-30,665599853,80,41,44,7.275957614183426e-11,1.8417267710901797e-11,4.2605092918965966,2.0285394579404965,1.9022090410580859,0.3231763750081882,0.3230035419110209,hwsim
2026-08-26_16-16-43,391006661,80,41,44,7.275957614183426e-11,1.8417267710901797e-11,4.1002380000427365,1.8821028330130503,1.8917145839659497,0.32266920793335885,0.3225278330501169,hwsim
2026-08-26_16-18-02,741601024,800,45,45,4.547473508864641e-11,5.0590642786119133e-11,4.2941051659872755,1.8952120000030845,2.029532333021052,0.3639884589938447,0.3638532080221921,hwsim
2026-08-26_16-18-32,145071777,800,45,45,4.547473508864641e-11,5.0590642786119133e-11,4.368887833901681,1.9369097499875352,2.0164278330048546,0.39805204200092703,0.3978823749348521,hwsim
2026-08-26_16-18-49,258247981,800,45,45,4.547473508864641e-11,5.0590642786119133e-11,4.1496084169484675,1.885968624963425,1.9198512920411304,0.33775041706394404,0.3376120829489082,hwsim
2026-08-26_16-19-02,877982318,800,45,45,4.547473508864641e-11,5.0590642786119133e-11,4.1331974159693345,1.8875747919082642,1.9174776669824496,0.3224705420434475,0.3223275829805061,hwsim
2026-08-26_16-19-15,786325642,800,45,45,4.547473508864641e-11,5.0590642786119133e-11,4.341136374976486,1.9092900829855353,2.0378044169628993,0.3883717500139028,0.388216209015809,hwsim
2026-08-26_16-19-55,83382623,8000,48,49,5.6843418860808015e-11,2.8762769943568856e-11,4.412303916993551,2.0508437079843134,1.898232709034346,0.43415733298752457,0.4339197090594098,hwsim
2026-08-26_16-20-30,139339430,8000,48,49,5.6843418860808015e-11,2.8762769943568856e-11,4.1404954170575365,1.8746492500649765,1.8991921250708401,0.34167279198300093,0.3415205420460552,hwsim
2026-08-26_16-20-59,752998386,8000,48,49,5.6843418860808015e-11,2.8762769943568856e-11,4.283021749928594,2.0275885830633342,1.8971188750583678,0.33098974998574704,0.33083837502636015,hwsim
2026-08-26_16-21-13,970324716,8000,48,49,5.6843418860808015e-11,2.8762769943568856e-11,4.305517875007354,1.9357755420496687,1.9438589160563424,0.3917996670352295,0.3916174160549417,hwsim
2026-08-26_16-21-40,489233217,8000,48,49,5.6843418860808015e-11,2.8762769943568856e-11,4.336179250036366,1.8922120830975473,2.045109000056982,0.37327037507202476,0.373134084045887,hwsim
2026-08-26_16-22-11,87761915,80000,51,53,7.105427357601002e-11,1.7786216943704858e-11,4.550225707935169,1.8928792090155184,1.9079073329921812,0.5326448330888525,0.5324866250157356,hwsim
2026-08-26_16-22-24,971499750,80000,51,53,7.105427357601002e-11,1.7786216943704858e-11,4.539678584085777,1.8951517500681803,1.8951147079933435,0.5289776250720024,0.5288252499885857,hwsim
2026-08-26_16-22-37,793079797,80000,51,53,7.105427357601002e-11,1.7786216943704858e-11,4.556472249911167,1.8944254169473425,1.8955375420628116,0.5412022499367595,0.5410476250108331,hwsim
