timestamp,id,bM,bH,t_total,t_QKD,t_key_transfer,t_verifications_total,t_single_verification,mode
2026-08-26_16-15-43,251106878,80,41,5.855947167030536,1.299356915988028,0.00023495801724493504,0.0003898750292137265,0.00036741700023412704,hwsim
2026-08-26_16-15-56,9466157,80,41,7.48597283300478,1.4766912090126425,0.00020754197612404823,0.00030937499832361937,0.00030220800545066595,hwsim
2026-08-26_16-16-08,104227277,80,41,7.46337799995672,1.4664287500781938,0.00021520897280424833,0.0003375409869477153,0.00031849998049438,hwsim
2026-08-26_16-16-27,665599853,80,41,7.650035458034836,1.253970457939431,0.0003755419747903943,0.0010527910199016333,0.0010245000012218952,hwsim
2026-08-26_16-16-40,391006661,80,41,7.829549124930054,1.3286895831115544,0.0001610829494893551,0.00030204199720174074,0.0002959159901365638,hwsim
2026-08-26_16-17-59,741601024,800,45,7.706450082943775,1.46826516604051,0.00014604197349399328,0.0021888751070946455,0.002180667011998594,hwsim
2026-08-26_16-18-29,145071777,800,45,7.752961833029985,1.4656682080822065,0.0005649169906973839,0.0024647919926792383,0.0024250829592347145,hwsim
2026-08-26_16-18-46,258247981,800,45,7.549662500037812,1.3435258748941123,0.00015783298294991255,0.0022627919679507613,0.0022567500127479434,hwsim
2026-08-26_16-18-58,877982318,800,45,8.545711999991909,1.2966762500582263,0.0001616249792277813,0.0022204580018296838,0.00221483304630965,hwsim
2026-08-26_16-19-12,786325642,800,45,7.847286082920618,1.4780442080227658,0.0001847919775173068,0.0022507919929921627,0.0022397080902010202,hwsim
2026-08-26_16-19-54,83382623,8000,48,5.8075547920307145,1.339727250044234,0.00029145798180252314,0.022710458026267588,0.022681583068333566,hwsim
2026-08-26_16-20-26,139339430,8000,48,7.797842249972746,1.2558622079668567,0.0001627090387046337,0.0211477919947356,0.021140208933502436,hwsim
2026-08-26_16-20-56,752998386,8000,48,8.255882625002414,1.336625583935529,0.00020066695287823677,0.021759083960205317,0.021742541925050318,hwsim
2026-08-26_16-21-08,970324716,8000,48,8.847443292033859,1.2860845419345424,0.0002701670164242387,0.02584062493406236,0.025818957947194576,hwsim
2026-08-26_16-21-37,489233217,8000,48,7.740084375021979,1.491359791951254,0.00015533296391367912,0.02174604102037847,0.02174037497024983,hwsim
2026-08-26_16-22-07,87761915,80000,51,8.15332425001543,1.2795561249367893,0.00017904210835695267,0.2153756250627339,0.2153688749531284,hwsim
2026-08-26_16-22-21,971499750,80000,51,7.808790042065084,1.3400515000103042,0.0002998750424012542,0.2109465409303084,0.21091158397030085,hwsim
2026-08-26_16-22-33,793079797,80000,51,7.944947791052982,1.333183457958512,0.00015449989587068558,0.22108804096933454,0.2210739590227604,hwsim
2026-08-26_16-22-45,78032791,80000,51,8.346206916961819,1.3476858340436593,0.00015537510626018047,0.21023075003176928,0.2102247920120135,hwsim
2026-08-26_16-23-01,499963834,80000,51,8.096321083954535,1.3286842500092462,0.0003269580192863941,0.21671120799146593,0.2166717080399394,hwsim
2026-08-26_16-23-45,314696787,800000,55,11.62900295900181,1.3225243750493973,0.00041924999095499516,2.247807542094961,2.24777054192964,hwsim
2026-08-26_16-24-07,580105294,800000,55,11.299082041950896,1.3480746248969808,0.0013868750538676977,2.173604332958348,2.1735418329481035,hwsim
2026-08-26_16-24-24,999293374,800000,55,11.972596041043289,1.4797208330128342,0.0009397499961778522,2.274589707958512,2.274570749956183,hwsim
2026-08-26_16-24-42,424405861,800000,55,12.569807333988138,1.331368291983381,0.00035541702527552843,2.1789252089802176,2.178899292019196,hwsim
2026-08-26_16-25-00,726814464,800000,55,12.142289167037234,1.496230584103614,0.0023269590456038713,2.2003642910858616,2.2001917919842526,hwsim
2026-08-26_16-25-27,653487793,8000000,58,51.63688095891848,1.310310082975775,0.0011736670276150107,22.208109833998606,22.20805829204619,hwsim
2026-08-26_16-26-28,756842314,8000000,58,51.501245250110514,1.46501966600772,0.0016333749517798424,21.928693915950134,21.928649791982025,hwsim
2026-08-26_16-27-27,161722488,8000000,58,51.441497416934,1.3863004590384662,0.0011708749225363135,23.07878724997863,23.078731707995757,hwsim
2026-08-26_16-28-45,797244093,8000000,58,51.27632637496572,1.590922583010979,0.0011342089856043458,22.98487241694238,22.984834040980786,hwsim
2026-08-26_16-29-51,702702999,8000000,58,53.121168917045,1.347620208049193,0.001276249997317791,24.46163749997504,24.461575541994534,hwsim
2026-08-26_16-31-55,550987599,80000000,61,790.5972501249053,1.3820172919658944,0.01932737499009818,444.5727691660868,444.5683407500619,hwsim
2026-08-26_16-45-32,167533909,80000000,61,687.0000761660049,1.5126967090182006,0.01223354204557836,438.03437062492594,438.0176461250521,hwsim
2026-08-26_16-59-46,300421187,80000000,61,1188.8812574169133,1.341687542037107,0.027082583983428776,734.8527027498931,734.8130512499483,hwsim
2026-08-26_17-20-55,180428497,80000000,61,1160.5926657080417,1.5941607910208404,0.020073416992090642,717.8073633749736,717.8032725419616,hwsim
2026-08-26_19-02-59,419769864,80000000,61,697.196889874991,2.173019125009887,0.023052708012983203,381.70317670796067,381.6969209170202,hwsim
2026-08-27_15-57-35,251174746,800,33,8.277490249998664,1.3123414170004253,0.00014762499995413236,0.002041291998466477,0.002035708999756025,hwsim
